action_index,motor_id,sdk_joint_name,action_scale_rad,plus_0.02_rad_observed_direction,confirmed_by,confirmed_time,notes
0,0,left_hip_pitch,0.25,,,,,
1,1,left_hip_roll,0.25,,,,,
2,2,left_hip_yaw,0.25,,,,,
3,3,left_knee,0.25,,,,,
4,4,left_ankle_pitch,0.20,,,,,
5,5,left_ankle_roll,0.20,,,,,
6,6,right_hip_pitch,0.25,,,,,
7,7,right_hip_roll,0.25,,,,,
8,8,right_hip_yaw,0.25,,,,,
9,9,right_knee,0.25,,,,,
10,10,right_ankle_pitch,0.20,,,,,
11,11,right_ankle_roll,0.20,,,,,
12,15,left_shoulder_pitch,0.18,,,,,
13,22,right_shoulder_pitch,0.18,,,,,
